Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 12:55:00-05:00,91.83499908447266,91.8499984741211,91.79000091552734,91.82499694824219,84909,0,0
2022-11-30 12:56:00-05:00,91.8270034790039,91.8499984741211,91.80999755859375,91.83499908447266,61672,0,0
2022-11-30 12:57:00-05:00,91.83499908447266,91.83999633789062,91.79000091552734,91.83999633789062,52234,0,0
2022-11-30 12:58:00-05:00,91.83000183105469,91.83000183105469,91.76000213623047,91.78500366210938,83165,0,0
2022-11-30 12:59:00-05:00,91.78479766845703,91.83000183105469,91.76499938964844,91.80999755859375,72035,0,0
2022-11-30 13:00:00-05:00,91.80000305175781,91.86000061035156,91.79000091552734,91.83499908447266,52648,0,0
2022-11-30 13:01:00-05:00,91.83000183105469,91.8499984741211,91.81999969482422,91.84259796142578,51304,0,0
2022-11-30 13:02:00-05:00,91.8499984741211,91.86000061035156,91.80000305175781,91.80000305175781,57753,0,0
2022-11-30 13:03:00-05:00,91.80999755859375,91.83000183105469,91.76010131835938,91.83000183105469,70128,0,0
2022-11-30 13:04:00-05:00,91.81999969482422,91.91000366210938,91.81500244140625,91.91000366210938,100782,0,0
2022-11-30 13:05:00-05:00,91.9000015258789,91.9000015258789,91.85449981689453,91.86499786376953,45060,0,0
2022-11-30 13:06:00-05:00,91.86170196533203,91.94999694824219,91.85299682617188,91.91000366210938,95066,0,0
2022-11-30 13:07:00-05:00,91.90499877929688,91.91999816894531,91.86419677734375,91.88939666748047,56642,0,0
2022-11-30 13:08:00-05:00,91.88999938964844,91.91000366210938,91.8499984741211,91.85060119628906,44357,0,0
2022-11-30 13:09:00-05:00,91.8550033569336,91.93000030517578,91.8550033569336,91.91000366210938,96817,0,0
2022-11-30 13:10:00-05:00,91.91500091552734,91.91999816894531,91.85040283203125,91.88999938964844,73328,0,0
2022-11-30 13:11:00-05:00,91.89630126953125,91.94000244140625,91.88999938964844,91.91999816894531,57199,0,0
2022-11-30 13:12:00-05:00,91.91500091552734,91.97000122070312,91.91120147705078,91.95659637451172,69010,0,0
2022-11-30 13:13:00-05:00,91.95989990234375,92.05000305175781,91.93000030517578,91.9800033569336,124300,0,0
2022-11-30 13:14:00-05:00,91.9749984741211,91.99810028076172,91.94000244140625,91.95999908447266,58391,0,0
2022-11-30 13:15:00-05:00,91.95999908447266,91.97000122070312,91.91999816894531,91.93000030517578,57120,0,0
2022-11-30 13:16:00-05:00,91.92500305175781,91.94999694824219,91.9010009765625,91.94010162353516,52116,0,0
2022-11-30 13:17:00-05:00,91.93499755859375,91.95999908447266,91.91500091552734,91.91500091552734,46036,0,0
2022-11-30 13:18:00-05:00,91.91519927978516,91.94999694824219,91.88999938964844,91.92500305175781,285197,0,0
2022-11-30 13:19:00-05:00,91.92500305175781,91.94000244140625,91.87000274658203,91.875,55652,0,0
2022-11-30 13:20:00-05:00,91.875,91.9000015258789,91.81999969482422,91.84500122070312,96852,0,0
2022-11-30 13:21:00-05:00,91.83999633789062,91.83999633789062,91.7699966430664,91.78089904785156,95298,0,0
2022-11-30 13:22:00-05:00,91.7886962890625,91.81990051269531,91.7822036743164,91.80999755859375,63288,0,0
2022-11-30 13:23:00-05:00,91.80000305175781,91.83999633789062,91.77999877929688,91.77999877929688,68976,0,0
2022-11-30 13:24:00-05:00,91.78199768066406,91.80999755859375,91.76000213623047,91.79000091552734,111303,0,0
2022-11-30 13:25:00-05:00,91.7876968383789,91.8499984741211,91.76000213623047,91.83000183105469,85326,0,0
2022-11-30 13:26:00-05:00,91.82499694824219,91.83999633789062,91.79000091552734,91.79499816894531,74265,0,0
2022-11-30 13:27:00-05:00,91.79499816894531,91.81999969482422,91.78500366210938,91.80500030517578,49168,0,0
2022-11-30 13:28:00-05:00,91.80999755859375,91.86000061035156,91.80439758300781,91.83999633789062,184440,0,0
2022-11-30 13:29:00-05:00,91.84989929199219,91.86499786376953,91.80000305175781,91.86499786376953,68358,0,0
2022-11-30 13:30:00-05:00,91.87000274658203,92.72000122070312,91.6500015258789,92.43499755859375,887891,0,0
2022-11-30 13:31:00-05:00,92.45999908447266,92.79000091552734,92.3499984741211,92.58000183105469,377030,0,0
2022-11-30 13:32:00-05:00,92.58000183105469,92.83999633789062,92.25,92.30000305175781,404453,0,0
2022-11-30 13:33:00-05:00,92.27999877929688,92.41000366210938,92.11000061035156,92.16000366210938,252004,0,0
2022-11-30 13:34:00-05:00,92.16999816894531,92.47000122070312,92.16000366210938,92.39730072021484,309471,0,0
2022-11-30 13:35:00-05:00,92.38330078125,92.72000122070312,92.38330078125,92.66000366210938,296128,0,0
2022-11-30 13:36:00-05:00,92.668701171875,92.69499969482422,92.5,92.56189727783203,244425,0,0
2022-11-30 13:37:00-05:00,92.58000183105469,92.76000213623047,92.54000091552734,92.6500015258789,311034,0,0
