,SPY_Close
2023-02-08 06:27:00-05:00,413.85
2023-02-08 06:28:00-05:00,413.9
2023-02-08 06:29:00-05:00,414.07
2023-02-08 06:30:00-05:00,414.09
2023-02-08 06:31:00-05:00,414.09
2023-02-08 06:32:00-05:00,414.07
2023-02-08 06:33:00-05:00,414.01
2023-02-08 06:34:00-05:00,414.01
2023-02-08 06:35:00-05:00,414.01
2023-02-08 06:36:00-05:00,413.93
2023-02-08 06:37:00-05:00,413.93
2023-02-08 06:38:00-05:00,413.95
2023-02-08 06:39:00-05:00,413.98
2023-02-08 06:40:00-05:00,414.02
2023-02-08 06:41:00-05:00,414.02
2023-02-08 06:42:00-05:00,413.99
2023-02-08 06:43:00-05:00,413.97
2023-02-08 06:44:00-05:00,413.91
2023-02-08 06:45:00-05:00,413.9
2023-02-08 06:46:00-05:00,413.86
2023-02-08 06:47:00-05:00,413.6
2023-02-08 06:48:00-05:00,413.6
2023-02-08 06:49:00-05:00,413.67
2023-02-08 06:50:00-05:00,413.7
2023-02-08 06:51:00-05:00,413.67
2023-02-08 06:52:00-05:00,413.65
2023-02-08 06:53:00-05:00,413.65
2023-02-08 06:54:00-05:00,413.85
2023-02-08 06:56:00-05:00,413.85
2023-02-08 06:57:00-05:00,413.8
2023-02-08 06:58:00-05:00,413.8
2023-02-08 06:59:00-05:00,413.89
2023-02-08 07:00:00-05:00,414.06
2023-02-08 07:01:00-05:00,414.1
2023-02-08 07:02:00-05:00,414.11
2023-02-08 07:03:00-05:00,414.23
2023-02-08 07:04:00-05:00,414.23
2023-02-08 07:05:00-05:00,414.2
2023-02-08 07:06:00-05:00,414.2
2023-02-08 07:07:00-05:00,414.25
2023-02-08 07:08:00-05:00,414.32
2023-02-08 07:09:00-05:00,414.32
2023-02-08 07:10:00-05:00,414.29
2023-02-08 07:11:00-05:00,414.25
2023-02-08 07:12:00-05:00,414.11
2023-02-08 07:13:00-05:00,414.11
2023-02-08 07:14:00-05:00,414.04
2023-02-08 07:15:00-05:00,413.92
2023-02-08 07:16:00-05:00,413.9
2023-02-08 07:17:00-05:00,413.89
2023-02-08 07:18:00-05:00,413.89
2023-02-08 07:19:00-05:00,413.87
2023-02-08 07:20:00-05:00,413.92
2023-02-08 07:21:00-05:00,413.92
2023-02-08 07:22:00-05:00,413.93
2023-02-08 07:23:00-05:00,413.96
2023-02-08 07:24:00-05:00,414.04
2023-02-08 07:25:00-05:00,414.05
2023-02-08 07:26:00-05:00,414.04
2023-02-08 07:27:00-05:00,414.04
2023-02-08 07:28:00-05:00,414.04
2023-02-08 07:29:00-05:00,413.98
2023-02-08 07:30:00-05:00,413.98
2023-02-08 07:31:00-05:00,414.03
2023-02-08 07:32:00-05:00,414.14
2023-02-08 07:33:00-05:00,414.15
2023-02-08 07:34:00-05:00,414.2
2023-02-08 07:35:00-05:00,414.2
2023-02-08 07:36:00-05:00,414.2
2023-02-08 07:37:00-05:00,414.09
2023-02-08 07:38:00-05:00,414.03
2023-02-08 07:39:00-05:00,414.03
2023-02-08 07:40:00-05:00,413.94
2023-02-08 07:41:00-05:00,413.94
2023-02-08 07:42:00-05:00,413.94
2023-02-08 07:43:00-05:00,413.97
2023-02-08 07:44:00-05:00,413.94
2023-02-08 07:45:00-05:00,413.89
2023-02-08 07:46:00-05:00,413.88
2023-02-08 07:47:00-05:00,413.74
2023-02-08 07:48:00-05:00,413.65
2023-02-08 07:49:00-05:00,413.65
2023-02-08 07:50:00-05:00,413.65
2023-02-08 07:51:00-05:00,413.59
2023-02-08 07:52:00-05:00,413.39
2023-02-08 07:53:00-05:00,413.39
2023-02-08 07:54:00-05:00,413.43
2023-02-08 07:55:00-05:00,413.46
2023-02-08 07:56:00-05:00,413.5
2023-02-08 07:57:00-05:00,413.46
2023-02-08 07:58:00-05:00,413.5
2023-02-08 07:59:00-05:00,413.49
2023-02-08 08:00:00-05:00,413.49
2023-02-08 08:01:00-05:00,413.34
2023-02-08 08:02:00-05:00,413.34
2023-02-08 08:03:00-05:00,413.38
2023-02-08 08:04:00-05:00,413.43
2023-02-08 08:05:00-05:00,413.45
2023-02-08 08:06:00-05:00,413.45
2023-02-08 08:07:00-05:00,413.505
