,SPY_Low
2023-01-03 07:43:00-05:00,384.25
2023-01-03 07:44:00-05:00,384.3
2023-01-03 07:45:00-05:00,384.3
2023-01-03 07:46:00-05:00,384.18
2023-01-03 07:47:00-05:00,383.93
2023-01-03 07:48:00-05:00,383.97
2023-01-03 07:49:00-05:00,384.16
2023-01-03 07:50:00-05:00,384.16
2023-01-03 07:51:00-05:00,384.14
2023-01-03 07:52:00-05:00,384.14
2023-01-03 07:53:00-05:00,384.1
2023-01-03 07:54:00-05:00,383.97
2023-01-03 07:55:00-05:00,383.87
2023-01-03 07:56:00-05:00,383.88
2023-01-03 07:57:00-05:00,383.9
2023-01-03 07:58:00-05:00,383.88
2023-01-03 07:59:00-05:00,383.97
2023-01-03 08:00:00-05:00,383.36
2023-01-03 08:01:00-05:00,382.77
2023-01-03 08:02:00-05:00,384.59
2023-01-03 08:03:00-05:00,384.68
2023-01-03 08:04:00-05:00,384.64
2023-01-03 08:05:00-05:00,384.53
2023-01-03 08:06:00-05:00,384.35
2023-01-03 08:07:00-05:00,384.19
2023-01-03 08:08:00-05:00,382.43
2023-01-03 08:09:00-05:00,383.39
2023-01-03 08:10:00-05:00,383.43
2023-01-03 08:11:00-05:00,383.59
2023-01-03 08:12:00-05:00,383.68
2023-01-03 08:13:00-05:00,383.75
2023-01-03 08:14:00-05:00,383.84
2023-01-03 08:15:00-05:00,383.85
2023-01-03 08:16:00-05:00,383.98
2023-01-03 08:17:00-05:00,383.9
2023-01-03 08:18:00-05:00,383.4
2023-01-03 08:19:00-05:00,383.99
2023-01-03 08:20:00-05:00,384.1
2023-01-03 08:21:00-05:00,384.21
2023-01-03 08:22:00-05:00,384.31
2023-01-03 08:23:00-05:00,384.48
2023-01-03 08:24:00-05:00,384.49
2023-01-03 08:25:00-05:00,384.4
2023-01-03 08:26:00-05:00,384.29
2023-01-03 08:27:00-05:00,384.09
2023-01-03 08:28:00-05:00,384.01
2023-01-03 08:29:00-05:00,384.0309
2023-01-03 08:30:00-05:00,383.97
2023-01-03 08:31:00-05:00,384.04
2023-01-03 08:32:00-05:00,384.09
2023-01-03 08:33:00-05:00,384.19
2023-01-03 08:34:00-05:00,384.18
2023-01-03 08:35:00-05:00,384.16
2023-01-03 08:36:00-05:00,384.24
2023-01-03 08:37:00-05:00,384.27
2023-01-03 08:38:00-05:00,384.4
2023-01-03 08:39:00-05:00,384.45
2023-01-03 08:40:00-05:00,384.46
2023-01-03 08:41:00-05:00,384.44
2023-01-03 08:42:00-05:00,384.41
2023-01-03 08:43:00-05:00,384.37
2023-01-03 08:44:00-05:00,384.36
2023-01-03 08:45:00-05:00,384.47
2023-01-03 08:46:00-05:00,384.49
2023-01-03 08:47:00-05:00,382.43
2023-01-03 08:48:00-05:00,384.55
2023-01-03 08:49:00-05:00,384.53
2023-01-03 08:50:00-05:00,384.61
2023-01-03 08:51:00-05:00,384.72
2023-01-03 08:52:00-05:00,384.77
2023-01-03 08:53:00-05:00,384.67
2023-01-03 08:54:00-05:00,384.69
2023-01-03 08:55:00-05:00,384.71
2023-01-03 08:56:00-05:00,384.77
2023-01-03 08:57:00-05:00,384.72
2023-01-03 08:58:00-05:00,384.7
2023-01-03 08:59:00-05:00,384.67
2023-01-03 09:00:00-05:00,384.65
2023-01-03 09:01:00-05:00,384.7
2023-01-03 09:02:00-05:00,384.54
2023-01-03 09:03:00-05:00,384.45
2023-01-03 09:04:00-05:00,384.38
2023-01-03 09:05:00-05:00,384.41
2023-01-03 09:06:00-05:00,384.49
2023-01-03 09:07:00-05:00,384.51
2023-01-03 09:08:00-05:00,382.43
2023-01-03 09:09:00-05:00,384.75
2023-01-03 09:10:00-05:00,384.71
2023-01-03 09:11:00-05:00,382.43
2023-01-03 09:12:00-05:00,384.8
2023-01-03 09:13:00-05:00,384.89
2023-01-03 09:14:00-05:00,385.0
2023-01-03 09:30:00-05:00,383.9700012207031
2023-01-03 09:31:00-05:00,383.5899963378906
2023-01-03 09:32:00-05:00,383.989990234375
2023-01-03 09:33:00-05:00,384.1499938964844
2023-01-03 09:34:00-05:00,384.4700012207031
2023-01-03 09:35:00-05:00,384.5299987792969
2023-01-03 09:36:00-05:00,384.3250122070313
2023-01-03 09:37:00-05:00,384.375
2023-01-03 09:38:00-05:00,384.6099853515625
2023-01-03 09:39:00-05:00,384.7701110839844
2023-01-03 09:40:00-05:00,385.1900024414063
2023-01-03 09:41:00-05:00,385.7300109863281
2023-01-03 09:42:00-05:00,386.1099853515625
2023-01-03 09:43:00-05:00,385.9400024414063
2023-01-03 09:44:00-05:00,385.1654968261719
2023-01-03 09:45:00-05:00,384.2879943847656
2023-01-03 09:46:00-05:00,384.1499938964844
2023-01-03 09:47:00-05:00,383.6736145019531
2023-01-03 09:48:00-05:00,383.0400085449219
2023-01-03 09:49:00-05:00,383.0199890136719
2023-01-03 09:50:00-05:00,383.4500122070313
2023-01-03 09:51:00-05:00,383.4299926757813
2023-01-03 09:52:00-05:00,382.55999755859375
2023-01-03 09:53:00-05:00,382.5
2023-01-03 09:54:00-05:00,382.7000122070313
2023-01-03 09:55:00-05:00,382.0299987792969
2023-01-03 09:56:00-05:00,382.2850036621094
2023-01-03 09:57:00-05:00,382.1650085449219
2023-01-03 09:58:00-05:00,381.7099914550781
2023-01-03 09:59:00-05:00,381.66009521484375
2023-01-03 10:00:00-05:00,381.6799926757813
2023-01-03 10:01:00-05:00,382.2099914550781
2023-01-03 10:02:00-05:00,381.9599914550781
2023-01-03 10:03:00-05:00,382.1900024414063
2023-01-03 10:04:00-05:00,382.0199890136719
2023-01-03 10:05:00-05:00,382.0400085449219
2023-01-03 10:06:00-05:00,381.8700866699219
2023-01-03 10:07:00-05:00,381.7800903320313
2023-01-03 10:08:00-05:00,382.1300048828125
2023-01-03 10:09:00-05:00,381.8599853515625
2023-01-03 10:10:00-05:00,381.4700012207031
2023-01-03 10:11:00-05:00,381.5498962402344
2023-01-03 10:12:00-05:00,381.1700134277344
2023-01-03 10:13:00-05:00,380.9410095214844
2023-01-03 10:14:00-05:00,380.9299926757813
2023-01-03 10:15:00-05:00,380.9400024414063
2023-01-03 10:16:00-05:00,381.1199951171875
2023-01-03 10:17:00-05:00,380.9413146972656
2023-01-03 10:18:00-05:00,380.3800048828125
2023-01-03 10:19:00-05:00,380.2200012207031
2023-01-03 10:20:00-05:00,380.1449890136719
2023-01-03 10:21:00-05:00,380.5299987792969
